T	Origin	Destination	Distance	TripTime
119	0	0	3	3
119	0	1	5	5
119	0	2	25	25
119	0	3	4	4
119	0	4	8	8
119	1	0	5	5
119	1	1	2	2
119	1	2	22	22
119	1	3	3	3
119	1	4	6	6
119	2	0	25	25
119	2	1	22	22
119	2	2	2	2
119	2	3	20	20
119	2	4	13	13
119	3	0	4	4
119	3	1	2	2
119	3	2	20	20
119	3	3	3	3
119	3	4	5	5
119	4	0	8	8
119	4	1	6	6
119	4	2	13	13
119	4	3	5	5
119	4	4	4	4
118	0	0	3	3
118	0	1	5	5
118	0	2	25	25
118	0	3	4	4
118	0	4	8	8
118	1	0	5	5
118	1	1	2	2
118	1	2	22	22
118	1	3	3	3
118	1	4	6	6
118	2	0	25	25
118	2	1	22	22
118	2	2	2	2
118	2	3	20	20
118	2	4	13	13
118	3	0	4	4
118	3	1	2	2
118	3	2	20	20
118	3	3	3	3
118	3	4	5	5
118	4	0	8	8
118	4	1	6	6
118	4	2	13	13
118	4	3	5	5
118	4	4	4	4
117	0	0	3	3
117	0	1	5	5
117	0	2	25	25
117	0	3	4	4
117	0	4	8	8
117	1	0	5	5
117	1	1	2	2
117	1	2	22	22
117	1	3	3	3
117	1	4	6	6
117	2	0	25	25
117	2	1	22	22
117	2	2	2	2
117	2	3	20	20
117	2	4	13	13
117	3	0	4	4
117	3	1	2	2
117	3	2	20	20
117	3	3	3	3
117	3	4	5	5
117	4	0	8	8
117	4	1	6	6
117	4	2	13	13
117	4	3	5	5
117	4	4	4	4
116	0	0	3	3
116	0	1	5	5
116	0	2	25	25
116	0	3	4	4
116	0	4	8	8
116	1	0	5	5
116	1	1	2	2
116	1	2	22	22
116	1	3	3	3
116	1	4	6	6
116	2	0	25	25
116	2	1	22	22
116	2	2	2	2
116	2	3	20	20
116	2	4	13	13
116	3	0	4	4
116	3	1	2	2
116	3	2	20	20
116	3	3	3	3
116	3	4	5	5
116	4	0	8	8
116	4	1	6	6
116	4	2	13	13
116	4	3	5	5
116	4	4	4	4
115	0	0	3	3
115	0	1	5	5
115	0	2	25	25
115	0	3	4	4
115	0	4	8	8
115	1	0	5	5
115	1	1	2	2
115	1	2	22	22
115	1	3	3	3
115	1	4	6	6
115	2	0	25	25
115	2	1	22	22
115	2	2	2	2
115	2	3	20	20
115	2	4	13	13
115	3	0	4	4
115	3	1	2	2
115	3	2	20	20
115	3	3	3	3
115	3	4	5	5
115	4	0	8	8
115	4	1	6	6
115	4	2	13	13
115	4	3	5	5
115	4	4	4	4
114	0	0	3	3
114	0	1	5	5
114	0	2	25	25
114	0	3	4	4
114	0	4	8	8
114	1	0	5	5
114	1	1	2	2
114	1	2	22	22
114	1	3	3	3
114	1	4	6	6
114	2	0	25	25
114	2	1	22	22
114	2	2	2	2
114	2	3	20	20
114	2	4	13	13
114	3	0	4	4
114	3	1	2	2
114	3	2	20	20
114	3	3	3	3
114	3	4	5	5
114	4	0	8	8
114	4	1	6	6
114	4	2	13	13
114	4	3	5	5
114	4	4	4	4
113	0	0	3	3
113	0	1	5	5
113	0	2	25	25
113	0	3	4	4
113	0	4	8	8
113	1	0	5	5
113	1	1	2	2
113	1	2	22	22
113	1	3	3	3
113	1	4	6	6
113	2	0	25	25
113	2	1	22	22
113	2	2	2	2
113	2	3	20	20
113	2	4	13	13
113	3	0	4	4
113	3	1	2	2
113	3	2	20	20
113	3	3	3	3
113	3	4	5	5
113	4	0	8	8
113	4	1	6	6
113	4	2	13	13
113	4	3	5	5
113	4	4	4	4
112	0	0	3	3
112	0	1	5	5
112	0	2	25	25
112	0	3	4	4
112	0	4	8	8
112	1	0	5	5
112	1	1	2	2
112	1	2	22	22
112	1	3	3	3
112	1	4	6	6
112	2	0	25	25
112	2	1	22	22
112	2	2	2	2
112	2	3	20	20
112	2	4	13	13
112	3	0	4	4
112	3	1	2	2
112	3	2	20	20
112	3	3	3	3
112	3	4	5	5
112	4	0	8	8
112	4	1	6	6
112	4	2	13	13
112	4	3	5	5
112	4	4	4	4
111	0	0	3	3
111	0	1	5	5
111	0	2	25	25
111	0	3	4	4
111	0	4	8	8
111	1	0	5	5
111	1	1	2	2
111	1	2	22	22
111	1	3	3	3
111	1	4	6	6
111	2	0	25	25
111	2	1	22	22
111	2	2	2	2
111	2	3	20	20
111	2	4	13	13
111	3	0	4	4
111	3	1	2	2
111	3	2	20	20
111	3	3	3	3
111	3	4	5	5
111	4	0	8	8
111	4	1	6	6
111	4	2	13	13
111	4	3	5	5
111	4	4	4	4
110	0	0	3	3
110	0	1	5	5
110	0	2	25	25
110	0	3	4	4
110	0	4	8	8
110	1	0	5	5
110	1	1	2	2
110	1	2	22	22
110	1	3	3	3
110	1	4	6	6
110	2	0	25	25
110	2	1	22	22
110	2	2	2	2
110	2	3	20	20
110	2	4	13	13
110	3	0	4	4
110	3	1	2	2
110	3	2	20	20
110	3	3	3	3
110	3	4	5	5
110	4	0	8	8
110	4	1	6	6
110	4	2	13	13
110	4	3	5	5
110	4	4	4	4
109	0	0	3	3
109	0	1	5	5
109	0	2	25	25
109	0	3	4	4
109	0	4	8	8
109	1	0	5	5
109	1	1	2	2
109	1	2	22	22
109	1	3	3	3
109	1	4	6	6
109	2	0	25	25
109	2	1	22	22
109	2	2	2	2
109	2	3	20	20
109	2	4	13	13
109	3	0	4	4
109	3	1	2	2
109	3	2	20	20
109	3	3	3	3
109	3	4	5	5
109	4	0	8	8
109	4	1	6	6
109	4	2	13	13
109	4	3	5	5
109	4	4	4	4
108	0	0	3	3
108	0	1	5	5
108	0	2	25	25
108	0	3	4	4
108	0	4	8	8
108	1	0	5	5
108	1	1	2	2
108	1	2	22	22
108	1	3	3	3
108	1	4	6	6
108	2	0	25	25
108	2	1	22	22
108	2	2	2	2
108	2	3	20	20
108	2	4	13	13
108	3	0	4	4
108	3	1	2	2
108	3	2	20	20
108	3	3	3	3
108	3	4	5	5
108	4	0	8	8
108	4	1	6	6
108	4	2	13	13
108	4	3	5	5
108	4	4	4	4
107	0	0	3	3
107	0	1	5	5
107	0	2	25	25
107	0	3	4	4
107	0	4	8	8
107	1	0	5	5
107	1	1	2	2
107	1	2	22	22
107	1	3	3	3
107	1	4	6	6
107	2	0	25	25
107	2	1	22	22
107	2	2	2	2
107	2	3	20	20
107	2	4	13	13
107	3	0	4	4
107	3	1	2	2
107	3	2	20	20
107	3	3	3	3
107	3	4	5	5
107	4	0	8	8
107	4	1	6	6
107	4	2	13	13
107	4	3	5	5
107	4	4	4	4
106	0	0	3	3
106	0	1	5	5
106	0	2	25	25
106	0	3	4	4
106	0	4	8	8
106	1	0	5	5
106	1	1	2	2
106	1	2	22	22
106	1	3	3	3
106	1	4	6	6
106	2	0	25	25
106	2	1	22	22
106	2	2	2	2
106	2	3	20	20
106	2	4	13	13
106	3	0	4	4
106	3	1	2	2
106	3	2	20	20
106	3	3	3	3
106	3	4	5	5
106	4	0	8	8
106	4	1	6	6
106	4	2	13	13
106	4	3	5	5
106	4	4	4	4
105	0	0	3	3
105	0	1	5	5
105	0	2	25	25
105	0	3	4	4
105	0	4	8	8
105	1	0	5	5
105	1	1	2	2
105	1	2	22	22
105	1	3	3	3
105	1	4	6	6
105	2	0	25	25
105	2	1	22	22
105	2	2	2	2
105	2	3	20	20
105	2	4	13	13
105	3	0	4	4
105	3	1	2	2
105	3	2	20	20
105	3	3	3	3
105	3	4	5	5
105	4	0	8	8
105	4	1	6	6
105	4	2	13	13
105	4	3	5	5
105	4	4	4	4
104	0	0	3	3
104	0	1	5	5
104	0	2	25	25
104	0	3	4	4
104	0	4	8	8
104	1	0	5	5
104	1	1	2	2
104	1	2	22	22
104	1	3	3	3
104	1	4	6	6
104	2	0	25	25
104	2	1	22	22
104	2	2	2	2
104	2	3	20	20
104	2	4	13	13
104	3	0	4	4
104	3	1	2	2
104	3	2	20	20
104	3	3	3	3
104	3	4	5	5
104	4	0	8	8
104	4	1	6	6
104	4	2	13	13
104	4	3	5	5
104	4	4	4	4
103	0	0	3	3
103	0	1	5	5
103	0	2	25	25
103	0	3	4	4
103	0	4	8	8
103	1	0	5	5
103	1	1	2	2
103	1	2	22	22
103	1	3	3	3
103	1	4	6	6
103	2	0	25	25
103	2	1	22	22
103	2	2	2	2
103	2	3	20	20
103	2	4	13	13
103	3	0	4	4
103	3	1	2	2
103	3	2	20	20
103	3	3	3	3
103	3	4	5	5
103	4	0	8	8
103	4	1	6	6
103	4	2	13	13
103	4	3	5	5
103	4	4	4	4
102	0	0	3	3
102	0	1	5	5
102	0	2	25	25
102	0	3	4	4
102	0	4	8	8
102	1	0	5	5
102	1	1	2	2
102	1	2	22	22
102	1	3	3	3
102	1	4	6	6
102	2	0	25	25
102	2	1	22	22
102	2	2	2	2
102	2	3	20	20
102	2	4	13	13
102	3	0	4	4
102	3	1	2	2
102	3	2	20	20
102	3	3	3	3
102	3	4	5	5
102	4	0	8	8
102	4	1	6	6
102	4	2	13	13
102	4	3	5	5
102	4	4	4	4
101	0	0	3	3
101	0	1	5	5
101	0	2	25	25
101	0	3	4	4
101	0	4	8	8
101	1	0	5	5
101	1	1	2	2
101	1	2	22	22
101	1	3	3	3
101	1	4	6	6
101	2	0	25	25
101	2	1	22	22
101	2	2	2	2
101	2	3	20	20
101	2	4	13	13
101	3	0	4	4
101	3	1	2	2
101	3	2	20	20
101	3	3	3	3
101	3	4	5	5
101	4	0	8	8
101	4	1	6	6
101	4	2	13	13
101	4	3	5	5
101	4	4	4	4
100	0	0	3	3
100	0	1	5	5
100	0	2	25	25
100	0	3	4	4
100	0	4	8	8
100	1	0	5	5
100	1	1	2	2
100	1	2	22	22
100	1	3	3	3
100	1	4	6	6
100	2	0	25	25
100	2	1	22	22
100	2	2	2	2
100	2	3	20	20
100	2	4	13	13
100	3	0	4	4
100	3	1	2	2
100	3	2	20	20
100	3	3	3	3
100	3	4	5	5
100	4	0	8	8
100	4	1	6	6
100	4	2	13	13
100	4	3	5	5
100	4	4	4	4
99	0	0	3	3
99	0	1	5	5
99	0	2	25	25
99	0	3	4	4
99	0	4	8	8
99	1	0	5	5
99	1	1	2	2
99	1	2	22	22
99	1	3	3	3
99	1	4	6	6
99	2	0	25	25
99	2	1	22	22
99	2	2	2	2
99	2	3	20	20
99	2	4	13	13
99	3	0	4	4
99	3	1	2	2
99	3	2	20	20
99	3	3	3	3
99	3	4	5	5
99	4	0	8	8
99	4	1	6	6
99	4	2	13	13
99	4	3	5	5
99	4	4	4	4
98	0	0	3	3
