T	Origin	Destination	Distance	TripTime
359	0	0	1	9
359	0	1	1	15
359	0	2	1	75
359	0	3	1	12
359	0	4	1	24
359	1	0	1	15
359	1	1	1	6
359	1	2	1	66
359	1	3	1	6
359	1	4	1	18
359	2	0	1	75
359	2	1	1	66
359	2	2	1	6
359	2	3	1	60
359	2	4	1	39
359	3	0	1	12
359	3	1	1	6
359	3	2	1	60
359	3	3	1	9
359	3	4	1	15
359	4	0	1	24
359	4	1	1	18
359	4	2	1	39
359	4	3	1	15
359	4	4	1	12
358	0	0	1	9
358	0	1	1	15
358	0	2	1	75
358	0	3	1	12
358	0	4	1	24
358	1	0	1	15
358	1	1	1	6
358	1	2	1	66
358	1	3	1	6
358	1	4	1	18
358	2	0	1	75
358	2	1	1	66
358	2	2	1	6
358	2	3	1	60
358	2	4	1	39
358	3	0	1	12
358	3	1	1	6
358	3	2	1	60
358	3	3	1	9
358	3	4	1	15
358	4	0	1	24
358	4	1	1	18
358	4	2	1	39
358	4	3	1	15
358	4	4	1	12
357	0	0	1	9
357	0	1	1	15
357	0	2	1	75
357	0	3	1	12
357	0	4	1	24
357	1	0	1	15
357	1	1	1	6
357	1	2	1	66
357	1	3	1	6
357	1	4	1	18
357	2	0	1	75
357	2	1	1	66
357	2	2	1	6
357	2	3	1	60
357	2	4	1	39
357	3	0	1	12
357	3	1	1	6
357	3	2	1	60
357	3	3	1	9
357	3	4	1	15
357	4	0	1	24
357	4	1	1	18
357	4	2	1	39
357	4	3	1	15
357	4	4	1	12
356	0	0	1	9
356	0	1	1	15
356	0	2	1	75
356	0	3	1	12
356	0	4	1	24
356	1	0	1	15
356	1	1	1	6
356	1	2	1	66
356	1	3	1	6
356	1	4	1	18
356	2	0	1	75
356	2	1	1	66
356	2	2	1	6
356	2	3	1	60
356	2	4	1	39
356	3	0	1	12
356	3	1	1	6
356	3	2	1	60
356	3	3	1	9
356	3	4	1	15
356	4	0	1	24
356	4	1	1	18
356	4	2	1	39
356	4	3	1	15
356	4	4	1	12
355	0	0	1	9
355	0	1	1	15
355	0	2	1	75
355	0	3	1	12
355	0	4	1	24
355	1	0	1	15
355	1	1	1	6
355	1	2	1	66
355	1	3	1	6
355	1	4	1	18
355	2	0	1	75
355	2	1	1	66
355	2	2	1	6
355	2	3	1	60
355	2	4	1	39
355	3	0	1	12
355	3	1	1	6
355	3	2	1	60
355	3	3	1	9
355	3	4	1	15
355	4	0	1	24
355	4	1	1	18
355	4	2	1	39
355	4	3	1	15
355	4	4	1	12
354	0	0	1	9
354	0	1	1	15
354	0	2	1	75
354	0	3	1	12
354	0	4	1	24
354	1	0	1	15
354	1	1	1	6
354	1	2	1	66
354	1	3	1	6
354	1	4	1	18
354	2	0	1	75
354	2	1	1	66
354	2	2	1	6
354	2	3	1	60
354	2	4	1	39
354	3	0	1	12
354	3	1	1	6
354	3	2	1	60
354	3	3	1	9
354	3	4	1	15
354	4	0	1	24
354	4	1	1	18
354	4	2	1	39
354	4	3	1	15
354	4	4	1	12
353	0	0	1	9
353	0	1	1	15
353	0	2	1	75
353	0	3	1	12
353	0	4	1	24
353	1	0	1	15
353	1	1	1	6
353	1	2	1	66
353	1	3	1	6
353	1	4	1	18
353	2	0	1	75
353	2	1	1	66
353	2	2	1	6
353	2	3	1	60
353	2	4	1	39
353	3	0	1	12
353	3	1	1	6
353	3	2	1	60
353	3	3	1	9
353	3	4	1	15
353	4	0	1	24
353	4	1	1	18
353	4	2	1	39
353	4	3	1	15
353	4	4	1	12
352	0	0	1	9
352	0	1	1	15
352	0	2	1	75
352	0	3	1	12
352	0	4	1	24
352	1	0	1	15
352	1	1	1	6
352	1	2	1	66
352	1	3	1	6
352	1	4	1	18
352	2	0	1	75
352	2	1	1	66
352	2	2	1	6
352	2	3	1	60
352	2	4	1	39
352	3	0	1	12
352	3	1	1	6
352	3	2	1	60
352	3	3	1	9
352	3	4	1	15
352	4	0	1	24
352	4	1	1	18
352	4	2	1	39
352	4	3	1	15
352	4	4	1	12
351	0	0	1	9
351	0	1	1	15
351	0	2	1	75
351	0	3	1	12
351	0	4	1	24
351	1	0	1	15
351	1	1	1	6
