T	Origin	Destination	TripTime	Distance
0	0	0	1	3
0	10	2	2	4
0	10	1	2	7
0	10	0	3	18
0	9	10	1	3
0	9	9	1	2
0	9	8	1	4
0	9	7	2	7
0	9	6	2	4
0	9	5	2	5
0	9	4	1	2
0	2	5	3	9
0	9	3	1	3
0	9	2	1	3
0	9	1	1	6
0	9	0	4	19
0	8	10	1	4
0	8	9	1	3
0	8	8	1	1
0	8	7	1	4
0	8	6	2	8
0	8	5	2	10
0	8	4	2	6
0	8	3	1	2
0	8	2	1	1
0	8	1	1	2
0	10	3	1	2
0	8	0	4	18
0	10	4	1	2
0	10	6	1	3
0	0	7	4	22
0	0	8	3	19
0	0	9	4	20
0	0	10	3	18
0	1	0	3	20
0	1	1	1	1
0	1	2	1	3
0	1	3	2	6
0	1	4	2	8
0	2	10	2	4
0	1	5	2	12
0	1	6	2	10
0	1	7	1	2
0	1	8	1	2
0	1	9	1	6
0	1	10	2	8
0	2	0	4	18
0	2	1	1	3
0	2	2	1	1
0	2	3	1	3
0	2	4	2	6
0	10	10	1	2
0	10	9	1	2
0	10	8	1	4
0	10	7	2	8
0	10	5	1	5
0	0	6	3	19
0	7	10	2	9
0	7	8	1	4
0	5	2	3	10
0	5	1	3	12
0	5	0	3	19
0	4	10	1	2
0	4	9	1	2
0	4	8	2	6
0	4	7	2	10
0	4	6	1	2
0	4	5	2	4
0	4	4	1	1
0	4	3	2	4
0	4	2	2	5
0	4	1	2	8
0	4	0	4	18
0	3	10	1	2
0	3	9	1	3
0	3	8	1	2
0	3	7	2	6
0	3	6	2	6
0	3	5	2	8
0	3	4	2	5
0	3	3	1	1
0	3	2	1	3
0	2	8	1	2
0	3	1	2	5
0	2	7	1	5
0	7	9	2	8
0	5	3	2	8
0	5	5	1	1
0	7	7	1	1
0	7	6	3	11
0	7	5	3	12
0	7	4	2	10
0	7	3	2	7
0	2	6	2	8
0	7	2	1	4
0	7	1	1	2
0	7	0	4	21
0	6	10	1	3
0	6	9	2	4
0	6	8	2	8
0	6	7	2	11
0	6	6	1	1
0	6	5	1	2
0	6	4	1	2
0	6	3	2	6
0	6	2	2	8
0	6	1	2	10
0	6	0	4	18
0	5	10	2	5
0	5	9	2	6
0	5	8	2	10
0	5	7	3	13
0	5	6	1	2
0	5	4	1	3
0	0	5	4	21
0	2	9	1	2
0	0	1	4	21
0	0	2	4	20
0	0	3	3	20
0	0	4	3	18
1	10	10	1	2
1	7	0	4	21
1	7	1	1	2
1	7	2	1	4
1	7	3	2	7
1	7	4	2	10
1	7	6	3	11
1	6	10	1	3
1	7	7	1	1
1	7	8	1	4
1	7	9	2	8
1	8	0	4	18
1	7	5	3	12
1	6	9	2	4
1	6	7	2	11
1	8	1	1	2
1	6	6	1	1
1	6	5	1	2
1	6	4	1	2
1	6	3	2	6
1	6	2	2	8
1	6	1	2	10
1	6	0	4	18
1	5	10	2	5
1	5	9	2	6
1	5	8	2	10
1	5	7	3	13
1	6	8	2	8
1	8	2	1	1
1	8	4	2	6
1	5	6	1	2
1	10	9	1	2
1	10	8	1	4
1	10	7	2	8
1	10	6	1	3
1	10	5	1	5
1	10	4	1	2
1	10	3	1	2
1	10	2	2	4
1	10	1	2	7
1	10	0	3	18
1	9	10	1	3
1	9	9	1	2
1	9	8	1	4
1	9	7	2	7
1	9	6	2	4
1	9	5	2	5
1	9	4	1	2
1	9	3	1	3
1	9	2	1	3
1	9	1	1	6
1	9	0	4	19
1	8	10	1	4
1	8	9	1	3
1	8	8	1	1
1	8	7	1	4
1	8	6	2	8
1	8	5	2	10
1	8	3	1	2
1	5	5	1	1
1	7	10	2	9
1	5	3	2	8
1	2	4	2	6
1	2	3	1	3
1	2	2	1	1
1	2	1	1	3
1	2	0	4	18
1	1	10	2	8
1	1	9	1	6
1	1	8	1	2
1	1	7	1	2
1	1	6	2	10
1	1	5	2	12
1	1	3	2	6
1	1	2	1	3
1	1	1	1	1
1	1	0	3	20
1	0	10	3	18
1	0	9	4	20
1	0	8	3	19
1	0	7	4	22
1	0	6	3	19
1	0	5	4	21
1	0	4	3	18
1	0	3	3	20
1	0	2	4	20
1	0	1	4	21
1	0	0	1	3
1	5	4	1	3
1	2	5	3	9
1	2	6	2	8
1	1	4	2	8
1	2	8	1	2
1	2	7	1	5
1	5	1	3	12
1	5	0	3	19
1	4	10	1	2
1	4	9	1	2
1	4	8	2	6
1	4	7	2	10
1	4	6	1	2
1	4	5	2	4
1	4	4	1	1
1	4	3	2	4
1	4	2	2	5
1	4	1	2	8
1	4	0	4	18
1	5	2	3	10
1	3	9	1	3
1	3	10	1	2
1	2	10	2	4
1	3	1	2	5
1	3	2	1	3
1	3	3	1	1
1	2	9	1	2
1	3	5	2	8
1	3	6	2	6
1	3	7	2	6
1	3	8	1	2
1	3	4	2	5
2	7	2	1	4
2	7	3	2	7
2	8	1	1	2
2	7	4	2	10
2	7	5	3	12
2	7	8	1	4
2	7	7	1	1
2	7	9	2	8
2	7	10	2	9
2	7	1	1	2
2	8	0	4	18
2	7	6	3	11
2	6	10	1	3
2	6	4	1	2
2	6	8	2	8
2	6	7	2	11
2	6	6	1	1
2	6	5	1	2
2	6	3	2	6
2	6	2	2	8
2	6	1	2	10
2	6	0	4	18
2	5	10	2	5
2	5	9	2	6
2	5	8	2	10
2	5	7	3	13
2	8	2	1	1
2	6	9	2	4
2	8	3	1	2
2	10	10	1	2
2	8	5	2	10
2	5	6	1	2
2	10	9	1	2
2	10	8	1	4
2	10	7	2	8
2	10	6	1	3
2	10	5	1	5
2	10	4	1	2
2	10	3	1	2
2	10	2	2	4
2	10	1	2	7
2	10	0	3	18
2	9	10	1	3
2	9	9	1	2
2	9	8	1	4
2	9	7	2	7
2	9	6	2	4
2	9	5	2	5
2	9	4	1	2
2	9	3	1	3
2	9	2	1	3
2	9	1	1	6
2	9	0	4	19
2	8	10	1	4
2	8	9	1	3
2	8	8	1	1
2	8	7	1	4
2	8	6	2	8
2	8	4	2	6
2	5	5	1	1
2	7	0	4	21
2	5	3	2	8
2	2	3	1	3
2	2	2	1	1
2	2	1	1	3
2	2	0	4	18
2	1	10	2	8
2	1	9	1	6
2	1	8	1	2
2	1	7	1	2
2	1	6	2	10
2	1	5	2	12
2	1	4	2	8
2	1	3	2	6
2	5	4	1	3
2	1	2	1	3
2	1	0	3	20
2	0	10	3	18
2	0	9	4	20
2	0	8	3	19
2	0	7	4	22
2	0	6	3	19
2	0	5	4	21
2	0	4	3	18
2	0	3	3	20
2	0	2	4	20
2	0	1	4	21
2	0	0	1	3
2	1	1	1	1
2	2	5	3	9
2	2	4	2	6
2	2	7	1	5
2	5	2	3	10
2	5	1	3	12
2	5	0	3	19
2	4	10	1	2
2	4	9	1	2
2	4	8	2	6
2	4	7	2	10
2	4	6	1	2
2	4	5	2	4
2	4	4	1	1
2	4	3	2	4
2	2	6	2	8
2	4	1	2	8
2	4	2	2	5
2	3	10	1	2
2	2	8	1	2
2	2	9	1	2
2	2	10	2	4
2	4	0	4	18
2	3	2	1	3
2	3	3	1	1
2	3	1	2	5
2	3	5	2	8
2	3	6	2	6
2	3	7	2	6
2	3	8	1	2
2	3	9	1	3
2	3	4	2	5
3	0	3	3	20
3	0	0	1	3
3	0	1	4	21
3	0	2	4	20
3	0	4	3	18
3	0	10	3	18
3	0	6	3	19
3	8	1	1	2
3	8	0	4	18
3	7	10	2	9
3	7	9	2	8
3	7	8	1	4
3	7	7	1	1
3	7	5	3	12
3	7	4	2	10
3	7	3	2	7
3	7	2	1	4
3	7	1	1	2
3	7	0	4	21
3	6	10	1	3
3	8	2	1	1
3	6	9	2	4
3	6	7	2	11
3	6	6	1	1
3	6	5	1	2
3	6	4	1	2
3	6	3	2	6
3	6	2	2	8
3	6	1	2	10
3	6	0	4	18
3	5	10	2	5
3	5	9	2	6
3	5	8	2	10
3	5	7	3	13
3	5	6	1	2
3	6	8	2	8
3	5	5	1	1
3	8	3	1	2
3	8	5	2	10
3	0	5	4	21
3	10	10	1	2
3	10	9	1	2
3	10	8	1	4
3	10	7	2	8
3	10	6	1	3
3	10	5	1	5
3	10	4	1	2
3	10	3	1	2
3	10	2	2	4
3	10	1	2	7
3	10	0	3	18
3	9	10	1	3
3	8	4	2	6
3	9	9	1	2
3	9	7	2	7
3	9	6	2	4
3	9	5	2	5
3	9	4	1	2
3	9	3	1	3
3	9	2	1	3
3	9	1	1	6
3	9	0	4	19
3	8	10	1	4
3	8	9	1	3
3	8	8	1	1
3	8	7	1	4
3	8	6	2	8
3	9	8	1	4
3	5	4	1	3
3	7	6	3	11
3	5	3	2	8
3	3	3	1	1
3	3	2	1	3
3	3	1	2	5
3	2	10	2	4
3	2	9	1	2
3	2	8	1	2
3	2	6	2	8
3	2	5	3	9
3	2	4	2	6
3	2	3	1	3
3	2	2	1	1
3	2	1	1	3
3	3	4	2	5
3	2	0	4	18
3	1	9	1	6
3	1	8	1	2
3	1	7	1	2
3	1	6	2	10
3	1	5	2	12
3	1	4	2	8
3	1	3	2	6
3	1	2	1	3
3	1	1	1	1
3	1	0	3	20
3	0	9	4	20
3	0	8	3	19
3	1	10	2	8
3	3	5	2	8
3	2	7	1	5
3	4	7	2	10
3	5	1	3	12
3	4	10	1	2
3	4	9	1	2
3	4	8	2	6
3	3	6	2	6
3	4	6	1	2
3	5	2	3	10
3	4	5	2	4
3	4	4	1	1
3	4	3	2	4
3	4	2	2	5
3	4	1	2	8
3	4	0	4	18
3	5	0	3	19
3	0	7	4	22
3	3	7	2	6
3	3	9	1	3
3	3	8	1	2
3	3	10	1	2
4	6	10	1	3
4	5	10	2	5
4	6	9	2	4
4	6	8	2	8
4	6	0	4	18
4	6	3	2	6
4	6	7	2	11
4	6	6	1	1
4	6	5	1	2
4	6	4	1	2
4	6	1	2	10
4	4	3	2	4
4	6	2	2	8
4	4	2	2	5
4	10	7	2	8
4	4	10	1	2
4	5	9	2	6
4	5	0	3	19
4	5	1	3	12
4	4	9	1	2
4	5	2	3	10
4	4	8	2	6
4	4	7	2	10
4	7	0	4	21
4	4	6	1	2
4	5	3	2	8
4	5	4	1	3
4	5	5	1	1
