T	Type	Pickup	Origin	Destination	Region	Rate	Payoff
0	Travel	1	0	1			1
0	Travel	1	1	0			1
0	Travel	1	0	2			2
0	Travel	1	2	0			2
0	Travel	1	1	2			1
0	Travel	1	2	1			1
0	Charge				2	3	-0.5
1	Travel	1	0	1			1
1	Travel	1	1	0			1
1	Charge				2	3	-0.5
1	Travel	1	0	2			2
1	Travel	1	2	0			2
1	Travel	1	1	2			1
1	Travel	1	2	1			1
2	Travel	1	0	1			1
2	Travel	1	1	0			1
2	Charge				2	3	-0.5
3	Travel	1	0	1			1
3	Travel	1	1	0			1
3	Travel	1	0	2			2
3	Travel	1	2	0			2
3	Travel	1	1	2			1
3	Travel	1	2	1			1
3	Charge				2	3	-0.5
4	Travel	1	0	1			1
4	Travel	1	1	0			1
4	Travel	1	0	2			2
4	Travel	1	2	0			2
4	Travel	1	1	2			1
4	Travel	1	2	1			1
4	Charge				2	3	-0.5
