T	Type	Pickup	Origin	Destination	Region	Rate	Payoff
0	Travel	1.0	0.0	0.0			1
0	Travel	0.0	0.0	0.0			0
0	Travel	1.0	0.0	1.0			1
0	Travel	0.0	0.0	1.0			0
0	Travel	1.0	0.0	2.0			1
0	Travel	0.0	0.0	2.0			0
0	Travel	1.0	1.0	0.0			1
0	Travel	0.0	1.0	0.0			0
0	Travel	1.0	1.0	1.0			1
0	Travel	0.0	1.0	1.0			0
0	Travel	1.0	1.0	2.0			1
0	Travel	0.0	1.0	2.0			0
0	Travel	1.0	2.0	0.0			1
0	Travel	0.0	2.0	0.0			0
0	Travel	1.0	2.0	1.0			1
0	Travel	0.0	2.0	1.0			0
0	Travel	1.0	2.0	2.0			1
0	Travel	0.0	2.0	2.0			0
0	Travel				0.0	2.0	0
1	Travel	1.0	0.0	0.0			1
1	Travel	0.0	0.0	0.0			0
1	Travel	1.0	0.0	1.0			1
1	Travel	0.0	0.0	1.0			0
1	Travel	1.0	0.0	2.0			1
1	Travel	0.0	0.0	2.0			0
1	Travel	1.0	1.0	0.0			1
1	Travel	0.0	1.0	0.0			0
1	Travel	1.0	1.0	1.0			1
1	Travel	0.0	1.0	1.0			0
1	Travel	1.0	1.0	2.0			1
1	Travel	0.0	1.0	2.0			0
1	Travel	1.0	2.0	0.0			1
1	Travel	0.0	2.0	0.0			0
1	Travel	1.0	2.0	1.0			1
1	Travel	0.0	2.0	1.0			0
1	Travel	1.0	2.0	2.0			1
1	Travel	0.0	2.0	2.0			0
1	Travel				0.0	2.0	0
2	Travel	1.0	0.0	0.0			1
2	Travel	0.0	0.0	0.0			0
2	Travel	1.0	0.0	1.0			1
2	Travel	0.0	0.0	1.0			0
2	Travel	1.0	0.0	2.0			1
2	Travel	0.0	0.0	2.0			0
2	Travel	1.0	1.0	0.0			1
2	Travel	0.0	1.0	0.0			0
2	Travel	1.0	1.0	1.0			1
2	Travel	0.0	1.0	1.0			0
